val,meta
0x09b21c2720a99887f817c9e7586055176868c428,5003109.88658703
0xc90c8bc92f9d28feac28666bdad5dfb37a456743,5005079.79014734
0x73b59d25f472c8302f74651593b209b01eaa971a,5043149.65407095
0x5de64f9503064344db3202d95ceb73c420dccd57,5086865.15332593
0x50b1ba98cf117c9682048d56628b294ebbaa4ec2,5126177.53623324
0x29cc23660158f945942dac47a9db1c0177f31c77,5141258.02195195
0xe67e43b831a541c5fa40de52ab0afbe311514e64,5179241.74296283
0x023010bd0339f933fa4fcdd89fb53a4922b5ed63,5272282.19243483
0x91746d6f9df58b9807a5bb0e54e4ea86600c2dba,5305146.57252803
0x7b9cdcc6831796fccb21b5f7241e2ced813efe92,5309607.39988
0x6abbf31304371b64ad96652c4dfdbae989656ddf,5345545.39423811
0x31e411356d89f8a4149149bbd7beb7d12f863670,5390600.65619932
0xa329ac2efffea563159897d7828866cfaed42167,5420062.13335806
0xa19085a92de036d782d955555d1b35b239992731,5496283.01529068
0x1098d651576137eacf5182bb5f18a14037196688,5631524.00647064
0xbbbc35dfac3a00a03a8fde3540eca4f0e15c5e64,5692444.29583494
0x69580cd3327f22150e79cff8f70059ac56500198,5727065.17762919
0x159c1fcc4aa34ffcd0cb9e5a6d34051a82c119b0,5814423.23022385
0x1749ad951fb612b42dc105944da86c362a783487,5817904.20346323
0x60ee8465dc43245c6c2989b1089e476d3a0a717d,5824827.1691774
0xae783a7c8c607efe00548a0592bf9cdb50903b79,5828243.34137735
0x8badfcafedc37b813e3b6a82c3fb7504d6c51310,5923522.00375722
0xece09032ef138573714beec20aacdd10f76b2b8a,5983224.53170016
0x849d52316331967b6ff1198e5e32a0eb168d039d,6064340.18482987
0x7c7770d9c77899325d57b41880df70c82bb685c2,6125142.39290464
0xb0898b883de7f7f49ab8622f2185f5d0ca25b2ad,6182116.15727478
0x78a83110c440a6be66132894a0920976d061b26f,6259660.50630487
0x76ade2f654eb9490275114310fde8dac0d0eed87,6367375.49886485
0x236f233dbf78341d25fb0f1bd14cb2ba4b8a777c,6503298.43137968
0x857f876490b63bdc7605165e0df568ae54f72d8e,6525118.0282501
0x94e96e1b9b8c7ecf8ddb37a379e6bbeffa057c93,6607582.31883256
0xb7cb772a0d8001a618f65373f9ac7750aa2c7d28,6757686.15051041
0xf023295ef82692afcfc5c5b44e0351be21752735,6872997.42483199
0xd07993c6cb9692a71522baf970a31069034df2b0,6967517.51926653
0xf929122994e177079c924631ba13fb280f5cd1f9,6989815.15846161
0x4b7ef10dfbece42e55160eec8a83a6dd86467fe7,7021801.28833657
0xe19f8244f04001fa01bb55f401e29426e2f67155,7034460.32437421
0x13939d994b1a27753de29adddb56d175e846608b,7094683.18388461
