val,meta
0xff3879b8a363aed92a6eaba8f61f1a96a9ec3c1e,7
0x25eae96f8ba6cc8fe257c665b269735dc34d5988,6
0x26fcbd3afebbe28d0a8684f790c48368d21665b5,6
0x35ff42fc4a02e0e6789912f30b2415607099a535,6
0x4a385286592c97e457a6f54a3734557f4b095a28,6
0x59e1cdf908933ce0f3296b64e726160af1b63320,6
0x5a3e28c2bf04989e6a7506a9ef845ae2dbc6d90a,6
0x65587bab006c8485f0d02672e540e408fd140a57,6
0x66666f58de1bcd762a5e5c5aff9cc3c906d66666,6
0x68f84b647841fdac170a827b805d7694a8fcd73d,6
0x6a0d224a6975519c4498fd1f499386e695501815,6
0x6dd7eec2c62f7cf58eee6106601eda04585e748d,6
0x7b3afc18936f9d0410002cdc9c4f28d772ca41af,6
0x7fee302a14d6b945c0eb6da9c4426c8d75d38a73,6
0x81b2f8fc75bab64a6b144aa6d2faa127b4fa7fd9,6
0x9524b86e777c0c6e1e1afe0bb8bf931a5b81386c,6
0x9fa09b6bc07bf4a70357072134130be3d9a4dbcc,6
0xa26603eebef077439f5c909e00e3cb6e879aa83c,6
0xa53cf9e377334e7da7550e644b815cc5cb74af23,6
0xac98d6b4ba30e96a555683251c28bcaa8b0edcd5,6
0xd5cbc23a467ad01d7b1261504ffeeee3d6764531,6
0xd6eb9031fccc32067dc3a2f99d03e9ead5743dc5,6
0xe38fe0d937fe11eb24b8ee0c579f9056162b1992,6
0xeca588e75c8eb0d2322f52c2c90bd525c5a5d93d,6
0xf68e4d63c8ea83083d1cb9858210cf2b03d8266b,6
0xfccdcdb6ae0e5820b21c98d323c1340fcce63cae,6
0x06d0f03416fbc95a69bffa1374e597f8aef752d8,5
0x083fc10ce7e97cafbae0fe332a9c4384c5f54e45,5
0x0e20029447dbe48e27f8ad9d34d47a32bc713928,5
0x18a244147f9e7fbaef8f871251c94bff190556ed,5
0x1fb40bcd456e295c76764dbcdc2f3c1358082d47,5
0x203bc267a4657ae5ee774eb35cec32faa2c0bc1f,5
0x2127dbf1b8b7022cba6ddc600ba7ceaffefd451b,5
0x24476341a2a33c12fdb84b100102ae55b1b99956,5
0x2fff908828acd45c11dc070e2163949812d7a6c3,5
0x36991b237b1a2c2eafd94274f11e589d3c041c95,5
0x383f7adecd735684563af9c2a8e2f5c79808fc83,5
0x40aa0292ed88ebef01b85cda317dbbed8f060b02,5
0x47ad7b5f38d184491b28b716718e4987f70c9820,5
0x4be52934b8464b887a2ff04aa02fa1a3fb9584a5,5
0x51e9a3dd530bba62f5238562cd60c42d722a40d9,5
0x5e12c24d4564d7627b8357dc9e8337c1ca10808b,5
0x5ed0f666e6c20f5eeb2214514b56df2adc47a0b2,5
0x68c4d9e03d7d902053c428ca2d74b612db7f583a,5
0x740802ea66731e8401b689ffdfb27e592892f035,5
0x74619cfc7ec552e5051c181f49428ccd154256f7,5
0x74a4e1e685393015a1553baa877f5d6ac708b335,5
0x7b4e32d7c0a0bab8083e3e9767a5af2472b5ccfe,5
0x7d0d6421e08b3f9a5172005487cffb146aeb86d6,5
0x800b0f324e4a7fbbdf99d1a793e2582bf3844976,5
0x824d260daea6d79eac57286812e939f5192cc09a,5
0x8379ac05ef71f982d497f392dc1a14ee859efd95,5
0x8d50fd5e87ebc6434923b09f4dfd4a7fc0df0614,5
0x9355e3fa0d4b14a14ca160497e20438249b7c360,5
0x9437d2c3d0dd38d7dbff7b0541aaa5d002d3944c,5
0x95a4f656a9fae5853e439e9a6c005765cc701ab5,5
0x991091d5596484f3153ac8707c76ec79f6d353ed,5
0xb09b5d8c221e4e1bfa4c2a947c501212a48d097f,5
0xb1300028fb06e718109040143d36f47b434f7a09,5
0xb889a24fefa39c2f07f221d2a5125700f72eee18,5
0xbe275bb0aefadd4c4161524e620b5a8bd14d3ad7,5
0xcd88b76df3e47ba9153f9e8895c6fe93e4609c81,5
0xd2defb6e985d33e2dc1df78fd37d1b3befc95794,5
0xe1e5e3dc5f06dfc5a22698461078d9c46c02f957,5
0xe9616dd1ba8a2776857f325a9dc8e5b167034276,5
0xfe6687ded55aef2f6df92cbde5845095658bfff4,5
0x067fe75a1c5ccea329dc40e2aa7f305f8473ba3e,4
0x0845fc89c51b2bcd1c3b0db9dbca497d641ec7d3,4
0x09765777ab9ca3fa047cc2363178364c9ba9d276,4
0x0a5f56cbf9c27bd3beb790a4914a36eb45ef08d6,4
0x0d6e79d7e0c1500e9a966f4cf97ee213d2d51816,4
0x0f576fe0a916ca39ee929f0cc956cfc9d2a59c12,4
0x14656e6fc27d9c7b1b54aa4ad82a037fa1a58183,4
